,Date,Open,Close,High,Low,Volume
152,2019-04-23,204.43,207.48,207.75,203.9,23322991
153,2019-04-24,207.36,207.16,208.48,207.05,17540609
154,2019-04-25,206.83,205.28,207.76,205.12,18543206
155,2019-04-26,204.9,204.3,205.0,202.12,18649102
156,2019-04-29,204.4,204.61,205.97,203.86,22204716
157,2019-04-30,203.06,200.67,203.4,199.11,46534923
158,2019-05-01,209.88,210.52,215.31,209.23,64827328
159,2019-05-02,209.84,209.15,212.65,208.13,31996324
160,2019-05-03,210.89,211.75,211.84,210.23,20892378
161,2019-05-06,204.29,208.48,208.84,203.5,32443113
162,2019-05-07,205.88,202.86,207.42,200.83,38763698
163,2019-05-08,201.9,202.9,205.34,201.75,26339504
164,2019-05-09,200.4,200.72,201.68,196.66,34908607
165,2019-05-10,197.42,197.18,198.85,192.77,41208712
166,2019-05-13,187.71,185.72,189.48,182.85,57430623
167,2019-05-14,186.41,188.66,189.7,185.41,36529677
168,2019-05-15,186.27,190.92,191.75,186.02,26544718
169,2019-05-16,189.91,190.08,192.47,188.84,33031364
170,2019-05-17,186.93,189.0,190.9,186.76,32879090
171,2019-05-20,183.52,183.09,184.35,180.28,38612290
172,2019-05-21,185.22,186.6,188.0,184.7,28364848
173,2019-05-22,184.66,182.78,185.71,182.55,29748556
174,2019-05-23,179.8,179.66,180.54,177.81,36529736
175,2019-05-24,180.2,178.97,182.14,178.62,23714686
176,2019-05-28,178.92,178.23,180.59,177.91,27948160
177,2019-05-29,176.42,177.38,179.35,176.0,28481165
178,2019-05-30,177.95,178.3,179.23,176.67,21218412
179,2019-05-31,176.23,175.07,177.99,174.99,27043584
180,2019-06-03,175.6,173.3,177.92,170.27,40396069
181,2019-06-04,175.44,179.64,179.83,174.52,30967961
182,2019-06-05,184.28,182.54,184.99,181.14,29773427
183,2019-06-06,183.08,185.22,185.47,182.15,22526311
184,2019-06-07,186.51,190.15,191.92,185.77,30684393
185,2019-06-10,191.81,192.58,195.37,191.62,26220851
186,2019-06-11,194.86,194.81,196.0,193.6,26932882
187,2019-06-12,193.95,194.19,195.97,193.39,18253189
188,2019-06-13,194.7,194.15,196.79,193.6,21674625
189,2019-06-14,191.55,192.74,193.59,190.3,18761474
190,2019-06-17,192.9,193.89,194.96,192.17,14669144
191,2019-06-18,196.05,198.45,200.29,195.21,26551004
192,2019-06-19,199.68,197.87,199.88,197.31,21124235
193,2019-06-20,200.37,199.46,200.61,198.03,21513988
194,2019-06-21,198.8,198.78,200.85,198.15,47800589
195,2019-06-24,198.54,198.58,200.16,198.17,18220421
196,2019-06-25,198.43,195.57,199.26,195.29,21070334
197,2019-06-26,197.77,199.8,200.99,197.35,26067512
198,2019-06-27,200.29,199.74,201.57,199.57,20899717
199,2019-06-28,198.68,197.92,199.5,197.05,31110642
200,2019-07-01,203.17,201.55,204.49,200.65,27316739
201,2019-07-02,201.41,202.73,203.13,201.36,16935217
202,2019-07-03,203.28,204.41,204.44,202.69,11362045
203,2019-07-05,203.35,204.23,205.08,202.9,17265518
204,2019-07-08,200.81,200.02,201.4,198.41,25338628
205,2019-07-09,199.2,201.24,201.51,198.81,20578015
206,2019-07-10,201.85,203.23,203.73,201.56,17897138
207,2019-07-11,203.31,201.75,204.39,201.71,20191842
208,2019-07-12,202.45,203.3,204.0,202.2,17595212
209,2019-07-15,204.09,205.21,205.87,204.0,16947420
210,2019-07-16,204.59,204.5,206.11,203.5,16866816
211,2019-07-17,204.05,203.35,205.09,203.27,14107450
212,2019-07-18,204.0,205.66,205.88,203.7,18582161
213,2019-07-19,205.79,202.59,206.5,202.36,20929307
214,2019-07-22,203.65,207.22,207.23,203.61,22277932
215,2019-07-23,208.46,208.84,208.91,207.29,18355210
216,2019-07-24,207.67,208.67,209.15,207.17,14991567
217,2019-07-25,208.89,207.02,209.24,206.73,13909562
218,2019-07-26,207.48,207.74,209.73,207.14,17618874
219,2019-07-29,208.46,209.68,210.64,208.44,21673389
220,2019-07-30,208.76,208.78,210.16,207.31,33935718
221,2019-07-31,216.42,213.04,221.37,211.3,69281361
222,2019-08-01,213.9,208.43,218.03,206.74,54017922
223,2019-08-02,205.53,204.02,206.43,201.63,40862122
224,2019-08-05,197.99,193.34,198.65,192.58,52392969
225,2019-08-06,196.31,197.0,198.07,194.04,35824787
226,2019-08-07,195.41,199.04,199.56,193.82,33364400
227,2019-08-08,200.2,203.43,203.53,199.39,27009523
228,2019-08-09,201.3,200.99,202.76,199.29,24619746
229,2019-08-12,199.62,200.48,202.05,199.15,22481889
230,2019-08-13,201.02,208.97,212.14,200.83,47539786
231,2019-08-14,203.16,202.75,206.44,202.59,36547443
232,2019-08-15,203.46,201.74,205.14,199.67,27883363
233,2019-08-16,204.28,206.5,207.16,203.84,28813624
234,2019-08-19,210.62,210.35,212.73,210.03,24431915
235,2019-08-20,210.88,210.36,213.35,210.32,26919529
236,2019-08-21,212.99,212.64,213.65,211.6,21564747
